#DataThief /Users/shugo/Downloads/HPlimit.png
# DAMIC  eV, chi
1.9272, 9.7179e-12
1.9285, 9.718e-12
1.93, 9.6871e-12
1.9315, 9.6872e-12
1.9329, 9.6564e-12
1.9344, 9.6565e-12
1.9358, 9.6258e-12
1.9372, 9.6259e-12
1.9386, 9.5953e-12
1.9401, 9.5954e-12
1.9416, 9.5649e-12
1.943, 9.565e-12
1.9445, 9.5346e-12
1.9459, 9.5347e-12
1.9474, 9.5044e-12
1.9487, 9.5045e-12
1.9503, 9.4743e-12
1.9518, 9.4744e-12
1.9532, 9.4443e-12
1.9546, 9.4444e-12
1.9561, 9.4144e-12
1.9576, 9.4144e-12
1.959, 9.3845e-12
1.9605, 9.3846e-12
1.962, 9.3548e-12
1.9634, 9.3549e-12
1.9649, 9.3252e-12
1.9664, 9.3252e-12
1.9678, 9.2956e-12
1.9693, 9.2957e-12
1.9708, 9.2662e-12
1.9722, 9.2663e-12
1.9737, 9.2368e-12
1.9752, 9.2369e-12
1.9767, 9.2076e-12
1.9781, 9.2076e-12
1.9796, 9.1784e-12
1.9811, 9.1785e-12
1.9826, 9.1493e-12
1.9841, 9.1494e-12
1.9855, 9.1203e-12
1.987, 9.1204e-12
1.9885, 9.0914e-12
1.99, 9.0915e-12
1.9915, 9.0626e-12
1.9929, 9.0627e-12
1.9944, 9.0339e-12
1.9959, 9.034e-12
1.9973, 9.0053e-12
1.9989, 9.0054e-12
2.0004, 8.9767e-12
2.0019, 8.9768e-12
2.0034, 8.9483e-12
2.0049, 8.9199e-12
2.0064, 8.92e-12
2.0079, 8.8916e-12
2.0094, 8.8917e-12
2.0109, 8.8635e-12
2.0124, 8.8353e-12
2.0139, 8.8354e-12
2.0154, 8.8073e-12
2.0169, 8.8074e-12
2.0184, 8.7794e-12
2.0199, 8.7515e-12
2.0214, 8.7516e-12
2.0229, 8.7238e-12
2.0244, 8.7239e-12
2.0259, 8.6961e-12
2.0275, 8.6685e-12
2.029, 8.6686e-12
2.0305, 8.6411e-12
2.032, 8.6136e-12
2.0335, 8.6137e-12
2.035, 8.5863e-12
2.0366, 8.5864e-12
2.0381, 8.5591e-12
2.0396, 8.5319e-12
2.0411, 8.532e-12
2.0426, 8.5049e-12
2.0442, 8.505e-12
2.0457, 8.4779e-12
2.0472, 8.451e-12
2.0487, 8.4511e-12
2.0503, 8.4242e-12
2.0518, 8.4243e-12
2.0533, 8.3976e-12
2.0549, 8.3709e-12
2.0564, 8.3709e-12
2.0579, 8.3444e-12
2.0594, 8.3444e-12
2.061, 8.3179e-12
2.0626, 8.2915e-12
2.0641, 8.2916e-12
2.0656, 8.2652e-12
2.0672, 8.239e-12
2.0687, 8.239e-12
2.0703, 8.2129e-12
2.0718, 8.2129e-12
2.0734, 8.1869e-12
2.0749, 8.1608e-12
2.0765, 8.1609e-12
2.078, 8.135e-12
2.0796, 8.1351e-12
2.0811, 8.1092e-12
2.0827, 8.0835e-12
2.0842, 8.0835e-12
2.0858, 8.0578e-12
2.0873, 8.0579e-12
